fold,sample,vertebra,slice_idx,comparison_path,has_comparison,heatmap_lines_path,n_valid_lines,angle_max,angle_mean,rho_max,rho_mean,perp_max,perp_mean,line_summary
fold4,sample24,C3,43,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C3_slice043_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C3_slice043_heatmap_lines.png,4,8.576522827148438,4.033588349819183,3.798466444015503,1.8657158380374312,11.430410483621163,9.781503599497732,"line_1: angle=8.58, rho=2.82, perp=11.43 | line_2: angle=3.63, rho=3.80, perp=8.54 | line_3: angle=2.82, rho=0.04, perp=9.17 | line_4: angle=1.11, rho=0.80, perp=9.99"
fold4,sample24,C4,40,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice040_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice040_heatmap_lines.png,4,5.104611873626709,3.283282697200775,3.907543659210205,2.6197360455989838,8.754861931735311,7.895560482095791,"line_1: angle=2.88, rho=3.32, perp=8.04 | line_2: angle=1.48, rho=0.97, perp=7.11 | line_3: angle=3.67, rho=2.28, perp=8.75 | line_4: angle=5.10, rho=3.91, perp=7.67"
fold4,sample24,C4,41,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice041_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice041_heatmap_lines.png,4,5.11848783493042,3.354226052761078,3.7542293071746826,2.525417670607567,9.454712963502496,7.866536749873924,"line_1: angle=3.10, rho=2.82, perp=7.09 | line_2: angle=1.32, rho=0.72, perp=7.40 | line_3: angle=3.88, rho=2.80, perp=9.45 | line_4: angle=5.12, rho=3.75, perp=7.52"
fold4,sample24,C4,42,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice042_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice042_heatmap_lines.png,4,3.533688545227051,2.5071487724781036,3.181367874145508,2.1533827632665634,10.048388551816657,7.8189742999058645,"line_1: angle=2.29, rho=2.41, perp=6.87 | line_2: angle=1.13, rho=0.61, perp=7.11 | line_3: angle=3.08, rho=2.41, perp=10.05 | line_4: angle=3.53, rho=3.18, perp=7.25"
fold4,sample24,C4,43,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice043_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C4_slice043_heatmap_lines.png,4,3.738583564758301,2.0435917414724827,2.965521812438965,1.8159923255443573,10.168894189842607,7.7724646013552485,"line_1: angle=3.74, rho=2.97, perp=7.67 | line_2: angle=0.15, rho=0.13, perp=6.11 | line_3: angle=1.94, rho=2.14, perp=10.17 | line_4: angle=2.34, rho=2.02, perp=7.14"
fold4,sample24,C5,51,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C5_slice051_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C5_slice051_heatmap_lines.png,4,2.449045181274414,2.0111816823482513,3.5008323192596436,2.4307048618793488,15.087877415922819,9.508424212079008,"line_1: angle=2.19, rho=3.18, perp=6.22 | line_2: angle=1.27, rho=0.56, perp=9.49 | line_3: angle=2.14, rho=3.50, perp=7.24 | line_4: angle=2.45, rho=2.48, perp=15.09"
fold4,sample24,C5,52,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C5_slice052_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C5_slice052_heatmap_lines.png,4,2.844412326812744,1.2421369031071663,3.4990904331207275,2.682431548833847,16.195217996874298,10.16912668892736,"line_1: angle=1.14, rho=3.50, perp=6.99 | line_2: angle=0.39, rho=1.03, perp=9.49 | line_3: angle=0.59, rho=3.08, perp=8.01 | line_4: angle=2.84, rho=3.12, perp=16.20"
fold4,sample24,C5,53,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C5_slice053_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C5_slice053_heatmap_lines.png,4,1.87199866771698,1.0376746635884047,3.438687562942505,2.5971584022045135,17.9108298354868,10.685386912650628,"line_1: angle=0.64, rho=3.44, perp=7.28 | line_2: angle=1.87, rho=1.77, perp=8.72 | line_3: angle=0.06, rho=2.83, perp=8.83 | line_4: angle=1.58, rho=2.35, perp=17.91"
fold4,sample24,C6,52,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice052_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice052_heatmap_lines.png,4,6.840054988861084,2.4488305151462555,1.5743764638900757,1.2545803785324097,12.3342400219238,7.922025993149336,"line_1: angle=0.85, rho=1.10, perp=7.00 | line_2: angle=6.84, rho=1.57, perp=5.71 | line_3: angle=1.18, rho=1.34, perp=12.33 | line_4: angle=0.92, rho=1.00, perp=6.64"
fold4,sample24,C6,53,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice053_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice053_heatmap_lines.png,4,3.482621431350708,2.1858523190021515,2.418024778366089,1.9382697343826294,13.079440449551418,8.58223958891347,"line_1: angle=3.48, rho=2.25, perp=7.90 | line_2: angle=1.93, rho=2.42, perp=6.70 | line_3: angle=1.81, rho=1.75, perp=13.08 | line_4: angle=1.52, rho=1.33, perp=6.65"
fold4,sample24,C6,54,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice054_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice054_heatmap_lines.png,4,8.730392456054688,3.8450691550970078,8.439177513122559,3.3642068952322006,14.23823597543768,9.056333443161387,"line_1: angle=4.28, rho=2.01, perp=6.74 | line_2: angle=8.73, rho=8.44, perp=8.43 | line_3: angle=1.61, rho=2.05, perp=14.24 | line_4: angle=0.77, rho=0.96, perp=6.82"
